When,How,SubID,Condition,Age,Gender,Grade,Category.num,Category
Y,B,55,1,6.868493151,F,1,2,See
N,T,55,1,6.868493151,F,1,3,Gravity
Y,B,55,1,6.868493151,F,1,4,Fish
Y,B,55,1,6.868493151,F,1,5,Crying
N,T,55,1,6.868493151,F,1,6,Helping
N,T,55,1,6.868493151,F,1,7,Bee
N,T,55,1,6.868493151,F,1,8,ObjPerm
N,B,55,1,6.868493151,F,1,9,Spider
N,T,55,1,6.868493151,F,1,10,Number
N,B,55,1,6.868493151,F,1,11,Hear
N,T,55,1,6.868493151,F,1,12,Reading
N,T,55,1,6.868493151,F,1,13,Face
N,T,10,1,7.052054795,M,1,1,Violin
N,B,10,1,7.052054795,M,1,2,See
N,T,10,1,7.052054795,M,1,3,Gravity
Y,B,10,1,7.052054795,M,1,4,Fish
N,B,10,1,7.052054795,M,1,5,Crying
N,T,10,1,7.052054795,M,1,6,Helping
N,B,10,1,7.052054795,M,1,7,Bee
N,T,10,1,7.052054795,M,1,8,ObjPerm
Y,T,10,1,7.052054795,M,1,9,Spider
N,T,10,1,7.052054795,M,1,10,Number
Y,B,10,1,7.052054795,M,1,11,Hear
N,T,10,1,7.052054795,M,1,12,Reading
N,T,10,1,7.052054795,M,1,13,Face
Y,B,42,2,7.076712329,F,1,1,See
N,T,42,2,7.076712329,F,1,2,Violin
N,T,42,2,7.076712329,F,1,3,Face
N,T,42,2,7.076712329,F,1,4,Reading
Y,B,42,2,7.076712329,F,1,5,Hear
N,T,42,2,7.076712329,F,1,6,Number
Y,B,42,2,7.076712329,F,1,7,Spider
N,T,42,2,7.076712329,F,1,8,ObjPerm
Y,B,42,2,7.076712329,F,1,9,Bee
N,T,42,2,7.076712329,F,1,10,Helping
Y,B,42,2,7.076712329,F,1,11,Crying
Y,B,42,2,7.076712329,F,1,12,Fish
Y,B,42,2,7.076712329,F,1,13,Gravity
Y,T,3,3,7.079452055,F,0,1,See
N,T,3,3,7.079452055,F,0,2,Violin
N,O,3,3,7.079452055,F,0,3,Gravity
Y,B,3,3,7.079452055,F,0,4,Fish
Y,B,3,3,7.079452055,F,0,5,Crying
N,T,3,3,7.079452055,F,0,6,Helping
Y,B,3,3,7.079452055,F,0,7,Bee
N,T,3,3,7.079452055,F,0,8,ObjPerm
Y,B,3,3,7.079452055,F,0,9,Spider
N,T,3,3,7.079452055,F,0,10,Number
Y,B,3,3,7.079452055,F,0,11,Hear
N,T,3,3,7.079452055,F,0,12,Reading
Y,B,3,3,7.079452055,F,0,13,Face
N,T,41,1,7.139726027,M,1,1,Violin
Y,B,41,1,7.139726027,M,1,2,See
N,T,41,1,7.139726027,M,1,3,Gravity
N,O,41,1,7.139726027,M,1,4,Fish
Y,B,41,1,7.139726027,M,1,5,Crying
N,T,41,1,7.139726027,M,1,6,Helping
N,O,41,1,7.139726027,M,1,7,Bee
N,T,41,1,7.139726027,M,1,8,ObjPerm
Y,O,41,1,7.139726027,M,1,9,Spider
Y,T,41,1,7.139726027,M,1,10,Number
Y,B,41,1,7.139726027,M,1,11,Hear
N,T,41,1,7.139726027,M,1,12,Reading
N,T,41,1,7.139726027,M,1,13,Face
N,T,43,3,7.347945205,F,1,1,Violin
Y,B,43,3,7.347945205,F,1,2,See
N,T,43,3,7.347945205,F,1,3,Gravity
